,METRIC_1,METRIC_2,METRIC_3,METRIC_4,METRIC_5,METRIC_6,METRIC_7,METRIC_8,METRIC_9,METRIC_10
METRIC_1,1.0,0.4629097127700502,-0.13320308460168206,0.3241353103042476,0.6112690796887846,-0.16167982761624256,-0.14607348169347945,0.17602083986590827,-0.13873337677322337,0.04846687630831513
METRIC_2,0.4629097127700502,1.0,-0.23370457337214776,0.0679890207989181,0.1293581763760335,0.1853177940606213,-0.04232617777375443,-0.09337320106954974,-0.23067497071395757,0.35456902808260254
METRIC_3,-0.13320308460168206,-0.23370457337214776,1.0,0.00948049981303993,-0.13028233461162964,0.0021041878083183484,0.07938724441923348,0.3415617648810202,0.5240959182804594,-0.21000099679817047
METRIC_4,0.3241353103042476,0.0679890207989181,0.00948049981303993,1.0,0.5530635860915947,-0.19280376113779304,-0.11910637621593383,0.16005144666366503,-0.04786041888244119,-0.07487631423065312
METRIC_5,0.6112690796887846,0.1293581763760335,-0.13028233461162964,0.5530635860915947,1.0,-0.3442625900260025,-0.2704746873318589,0.2872621381313278,-0.194387705948303,-0.16966766604861996
METRIC_6,-0.16167982761624256,0.1853177940606213,0.0021041878083183484,-0.19280376113779304,-0.3442625900260025,1.0,0.4964300628202686,-0.18188864130021173,-0.09735045555161634,0.10949900514989301
METRIC_7,-0.14607348169347945,-0.04232617777375443,0.07938724441923348,-0.11910637621593383,-0.2704746873318589,0.4964300628202686,1.0,-0.18539459512064663,0.16463795632190875,0.10660929100127282
METRIC_8,0.17602083986590827,-0.09337320106954974,0.3415617648810202,0.16005144666366503,0.2872621381313278,-0.18188864130021173,-0.18539459512064663,1.0,0.4841584625840228,-0.3460672081518344
METRIC_9,-0.13873337677322337,-0.23067497071395757,0.5240959182804594,-0.04786041888244119,-0.194387705948303,-0.09735045555161634,0.16463795632190875,0.4841584625840228,1.0,-0.19757613660777745
METRIC_10,0.04846687630831513,0.35456902808260254,-0.21000099679817047,-0.07487631423065312,-0.16966766604861996,0.10949900514989301,0.10660929100127282,-0.3460672081518344,-0.19757613660777745,1.0
