KEY,METRIC_1,METRIC_2,METRIC_3,METRIC_4,METRIC_5,METRIC_6,METRIC_7,METRIC_8,METRIC_9,METRIC_10,avg_metric
11011103400,2.73,0.29,432.64,5.13,0.14,0.023,0.005,0.375,4.29,0.14,44.58
11011107800,1.7,0.2,231.04,2.09,0.122,0.011,0.006,0.383,4.73,0.43,24.07
11012586200,7.34,0.36,7.84,1.17,0.337,0.016,0.006,0.485,2.86,0.28,2.07
11012587300,8.54,0.2,25.0,3.31,0.478,0.015,0.009,0.487,7.27,0.18,4.55
11013299000,2.0,0.37,64.0,1.03,0.09,0.016,0.003,0.4,3.47,0.37,7.17
11013301200,2.65,0.3,100.0,2.64,0.135,0.009,0.004,0.367,4.65,0.19,11.09
11013885300,4.18,0.53,127.69,2.78,0.121,0.011,0.005,0.302,5.19,0.47,14.13
11016886100,1.17,0.15,412.09,1.15,0.042,0.201,0.015,0.411,5.62,0.0,42.08
11016888300,1.11,0.16,372.49,0.62,0.04,0.175,0.013,0.398,4.97,0.0,38.0
11016891600,0.42,0.18,285.61,1.37,0.039,0.206,0.011,0.423,4.23,0.09,29.26
11016892700,0.8,0.06,2490.01,0.39,0.036,0.13,0.008,0.36,7.96,0.0,249.98
11016893800,0.59,0.15,388.09,0.46,0.037,0.176,0.008,0.403,3.14,0.28,39.33
11016896000,0.16,0.07,1689.21,0.75,0.036,0.139,0.009,0.372,5.67,0.0,169.64
11016901500,3.48,0.12,65.61,9.41,0.323,0.015,0.008,0.424,4.4,0.0,8.38
11017031300,1.8,0.18,31.36,1.28,0.172,0.038,0.01,0.306,4.37,0.0,3.95
11017033500,1.36,0.14,53.29,1.49,0.152,0.044,0.013,0.32,7.68,0.0,6.45
11017039000,1.08,0.18,31.36,0.99,0.128,0.034,0.009,0.33,3.81,0.0,3.79
11017040100,2.09,0.19,28.09,0.88,0.163,0.032,0.01,0.35,3.4,0.0,3.52
11017050000,2.88,0.42,5.76,1.57,0.118,0.038,0.012,0.451,2.58,0.15,1.4
11017051100,2.26,0.45,4.84,0.46,0.102,0.024,0.005,0.376,1.11,0.22,0.98
11022356400,1.72,0.29,12.25,0.21,0.1,0.028,0.008,0.416,3.69,0.13,1.88
11022911900,1.87,0.08,174.24,2.52,0.254,0.005,0.003,0.341,5.22,0.0,18.45
11023559800,2.45,0.29,424.36,4.9,0.14,0.035,0.006,0.448,1.88,0.17,43.47
11023631300,2.62,0.27,13.69,1.01,0.159,0.015,0.007,0.325,2.72,0.28,2.11
11024446400,3.04,0.43,47.61,1.41,0.174,0.318,0.046,0.339,2.85,0.08,5.63
11024448600,4.07,0.23,19.36,5.29,0.322,0.143,0.06,0.343,2.62,0.0,3.24
11024678500,3.59,0.08,163.84,18.8,0.408,0.015,0.011,0.474,9.15,0.0,19.64
11025996300,1.91,0.13,59.29,4.28,0.221,0.015,0.008,0.402,5.72,0.19,7.22
11026000700,4.83,0.29,424.36,9.3,0.236,0.029,0.012,0.419,6.08,0.26,44.58
11026054600,1.48,0.16,5595.04,10.95,0.092,0.073,0.021,0.309,6.28,0.73,561.51
11026055700,1.45,0.17,4886.01,14.93,0.087,0.073,0.014,0.323,7.83,0.68,491.16
11026071100,1.32,0.11,11968.36,14.81,0.082,0.053,0.013,0.32,7.87,0.77,1199.37
11026073300,1.25,0.17,4719.69,7.02,0.085,0.071,0.016,0.321,8.33,0.75,473.77
11026074400,1.22,0.07,187.69,0.66,0.071,0.017,0.012,0.325,9.2,0.82,20.01
11027003900,2.23,0.27,338.56,2.19,0.113,0.006,0.002,0.328,1.95,0.21,34.59
11033091300,6.33,0.018,44.89,12.54,0.1,0.152,0.031,0.337,2.2,0.88,6.75
11033414700,2.77,0.68,77.44,0.09,0.114,0.177,0.024,0.352,3.91,0.5,8.61
11033415800,1.81,0.31,368.64,3.25,0.098,0.123,0.018,0.353,5.03,0.61,38.02
11066663300,2.63,0.07,789.61,26.03,0.417,0.001,0.004,0.367,1.29,0.0,82.04
11068736800,2.78,0.013,20.25,0.2,0.048,0.076,0.013,0.349,2.23,0.38,2.63
11068774200,2.12,0.01,33.64,0.92,0.038,0.071,0.01,0.343,1.67,0.36,3.92
11069373700,0.86,0.14,488.41,1.18,0.061,0.165,0.037,0.311,69.0,0.47,56.06
11069374800,0.84,0.07,1806.25,3.42,0.054,0.105,0.025,0.33,80.85,0.0,189.19
11069375900,0.45,0.08,1505.44,0.94,0.055,0.129,0.043,0.314,83.98,0.0,159.14
11069377000,0.27,0.07,2088.49,2.26,0.052,0.103,0.027,0.32,90.93,0.0,218.25
11069378100,0.86,0.08,1489.96,1.36,0.047,0.086,0.036,0.306,93.21,0.49,158.64
11069379200,1.09,0.07,1936.0,1.88,0.052,0.097,0.023,0.322,94.97,0.0,203.45
11069381400,1.1,0.09,1082.41,0.37,0.052,0.102,0.037,0.301,98.58,0.29,118.33
11069382500,0.67,0.13,556.96,0.81,0.064,0.154,0.07,0.305,76.77,0.0,63.59
11069383600,0.23,0.11,784.0,1.43,0.059,0.157,0.065,0.299,85.65,0.16,87.22
11069384700,0.43,0.07,2097.64,1.58,0.048,0.101,0.043,0.307,94.97,0.0,219.52
11069385800,0.42,0.11,772.84,1.94,0.054,0.098,0.048,0.293,83.98,0.14,85.99
11069386900,0.99,0.09,1135.69,1.13,0.054,0.121,0.049,0.303,87.37,0.0,122.58
11069388000,0.89,0.1,823.69,3.37,0.052,0.1,0.055,0.308,82.92,0.4,91.19
11069390200,0.86,0.16,353.44,1.06,0.054,0.102,0.034,0.296,65.88,0.55,42.24
11069391300,0.68,0.13,576.0,0.12,0.058,0.14,0.046,0.297,76.01,0.35,65.38
11069392400,0.41,0.07,1962.49,0.25,0.053,0.104,0.039,0.308,106.29,0.0,207.0
11069393500,0.65,0.08,1281.64,1.33,0.054,0.127,0.041,0.307,93.1,0.0,137.73
11069394600,0.69,0.11,702.25,0.46,0.062,0.177,0.038,0.3,75.36,0.49,77.99
11069395700,0.85,0.05,3457.44,2.1,0.048,0.1,0.032,0.322,119.97,0.0,358.09
11069396800,0.72,0.06,2218.41,1.65,0.054,0.126,0.031,0.323,88.24,0.0,230.96
11069397900,1.29,0.18,289.0,2.94,0.056,0.136,0.03,0.306,67.1,0.51,36.15
11069399000,0.52,0.17,306.25,3.47,0.061,0.148,0.04,0.298,57.82,0.34,36.91
11069400100,0.59,0.08,1474.56,1.49,0.053,0.127,0.028,0.308,83.66,0.41,156.13
11069401200,1.0,0.27,127.69,1.71,0.056,0.129,0.037,0.327,37.81,0.56,16.96
11069402300,1.09,0.09,1162.81,0.41,0.048,0.077,0.031,0.31,87.7,0.43,125.3
11069403400,0.66,0.09,1162.81,1.02,0.051,0.104,0.032,0.311,78.45,0.34,124.39
11069404500,0.46,0.06,2480.04,2.43,0.051,0.094,0.034,0.321,100.8,0.0,258.43
11069405600,0.69,0.06,2851.56,2.23,0.048,0.068,0.032,0.31,96.21,0.0,295.12
11069406700,0.91,0.06,2683.24,1.54,0.048,0.109,0.029,0.319,93.81,0.0,278.01
11069407800,0.58,0.05,3113.64,0.2,0.051,0.119,0.032,0.306,91.13,0.0,320.61
11069410000,0.25,0.1,823.69,1.15,0.046,0.071,0.038,0.299,89.64,0.64,91.59
11069411100,1.17,0.53,127.69,0.79,0.081,0.31,0.055,0.366,31.43,0.45,16.29
11069412200,1.18,0.09,1017.61,3.0,0.054,0.121,0.044,0.308,75.69,0.0,109.81
11069413300,2.65,0.88,47.61,0.39,0.078,0.297,0.048,0.333,22.46,0.53,7.53
11069414400,0.68,0.13,533.61,0.45,0.051,0.108,0.034,0.31,54.13,0.51,59.0
11069415500,0.92,0.11,718.24,0.22,0.055,0.098,0.041,0.303,64.01,0.25,78.42
